ID,PID,Quantity,Price,Date,Time
1,31,10,220,7/1/2025,17:48:06
2,24,20,154,7/1/2025,17:49:30
3,29,10,310,7/1/2025,17:50:29
4,3,10,340,7/1/2025,17:50:51
5,179,10,220,7/1/2025,17:51:11
6,26,2,380,7/1/2025,17:51:41
7,192,3,835,7/1/2025,17:52:04
8,213,2,650,7/1/2025,17:52:38
9,342,1,1550,7/1/2025,17:53:10
10,89,10,73,7/1/2025,17:54:30
11,343,2,380,7/1/2025,17:55:11
12,243,2,155,7/1/2025,17:56:09
13,344,10,135,7/1/2025,17:56:42
14,345,1,460,7/1/2025,17:58:49
15,4,24,135,7/1/2025,18:03:22
16,229,2,260,7/1/2025,18:03:47
17,6,4,70,7/1/2025,18:04:19
18,282,2,230,7/1/2025,18:04:41
19,346,8,20,7/1/2025,18:05:47
20,347,2,145,7/1/2025,18:07:35
21,348,1,160,7/1/2025,18:08:35
22,349,1,170,7/1/2025,18:10:05
23,237,4,75,7/1/2025,18:11:02
24,310,1,240,7/1/2025,18:11:29
25,574,10,25,12/26/2025,19:13:05
26,111,20,29.5,12/26/2025,19:14:27
27,575,25,6.8,12/26/2025,19:15:55
28,134,5,100,12/26/2025,19:17:15
29,77,6,80,12/26/2025,19:17:53
30,69,6,70,12/26/2025,19:18:12
31,124,10,70,12/26/2025,19:18:42
32,448,4,160,12/26/2025,19:19:43
33,221,4,36,12/26/2025,19:20:07
34,475,2,75,12/26/2025,19:20:38
35,70,100,1.2,12/26/2025,19:21:00
36,512,2,65,12/26/2025,19:21:58
37,340,1,358,12/26/2025,20:37:25
38,48,1,75,12/26/2025,20:37:53
39,199,10,9,12/26/2025,20:38:35
40,482,2,270,12/26/2025,20:39:00
41,516,1,240,12/26/2025,20:39:23
42,93,2,350,12/26/2025,20:39:45
43,257,1,550,12/26/2025,20:40:06
44,369,1,380,12/26/2025,20:43:19
45,551,2,570,12/26/2025,20:43:42
46,566,1,280,12/26/2025,20:44:10
47,43,4,50,12/26/2025,20:45:16
48,576,4,28,12/26/2025,20:45:42
49,577,6,21,12/26/2025,20:46:31
50,203,2,170,12/26/2025,20:47:42
51,276,200,0.6,12/26/2025,20:48:26
52,578,16,50,12/26/2025,20:48:53
53,579,5,100,12/26/2025,20:49:48
54,581,2,65,12/27/2025,19:28:36
55,582,2,83,12/27/2025,19:30:26
56,214,2,117,12/27/2025,19:59:49
57,466,2,137,12/27/2025,20:00:23
58,527,2,117,12/27/2025,20:00:48
59,584,2,137,12/27/2025,20:01:26
60,585,72,4.5,12/27/2025,20:03:33
61,586,48,5.42,12/27/2025,20:04:52
62,416,10,55,12/27/2025,20:05:44
63,542,2,95,12/27/2025,20:06:37
64,587,2,160,12/27/2025,20:07:04
65,79,10,32,12/27/2025,20:08:04
66,588,10,90,12/27/2025,20:08:25
67,20,4,65,12/27/2025,20:10:15
68,464,4,250,12/27/2025,20:11:00
69,31,10,205,12/27/2025,20:11:57
70,24,10,152,12/27/2025,20:12:14
71,4,10,135,12/27/2025,20:12:32
72,29,14,310,12/27/2025,20:12:48
73,179,10,222,12/27/2025,20:13:51
74,89,10,70,12/27/2025,20:14:09
75,103,10,208,12/27/2025,20:14:30
76,230,6,225,12/27/2025,20:15:27
77,102,3,220,12/27/2025,20:15:55
78,314,5,120,12/27/2025,20:16:13
79,192,3,820,12/27/2025,20:16:47
80,213,1,660,12/27/2025,20:17:02
81,201,2,660,12/27/2025,20:17:41
82,1,4,120,12/27/2025,20:18:02
83,9,4,72,12/27/2025,20:18:27
84,212,4,60,12/27/2025,20:19:01
85,104,4,120,12/27/2025,20:19:22
86,589,10,110,12/27/2025,20:19:51
87,220,2,380,12/27/2025,20:22:19
88,590,6,60,12/27/2025,20:23:17
89,428,6,40,12/27/2025,20:25:37
90,81,100,0.3,12/27/2025,20:26:52
91,625,2,216,4/19/2026,11:38:25
92,422,4,292,4/19/2026,12:56:12
93,108,2,330,4/19/2026,12:56:58
94,632,1,301,4/19/2026,12:57:23
95,614,1,314,4/19/2026,12:58:06
96,633,2,145,4/19/2026,12:58:40
97,280,2,106,4/19/2026,12:59:57
98,45,6,67,4/19/2026,13:00:40
99,114,4,77,4/19/2026,13:01:04
100,487,2,195,4/19/2026,13:01:42
101,79,10,35,4/19/2026,13:02:07
102,634,4,104,4/19/2026,13:02:50
103,160,10,13,4/19/2026,13:03:37
104,19,10,16,4/19/2026,13:04:06
105,198,2,17,4/19/2026,13:04:31
106,22,2,20,4/19/2026,13:04:50
107,458,2,27,4/19/2026,13:05:25
108,635,1,280,4/19/2026,13:05:53
109,240,50,4.85,4/19/2026,13:07:16
110,274,25,1.7,4/19/2026,13:08:03
111,516,2,280,4/19/2026,13:09:17
112,369,2,370,4/19/2026,13:10:18
113,520,2,380,4/19/2026,13:10:50
114,595,2,200,4/19/2026,13:11:10
115,597,1,1450,4/19/2026,13:12:07
116,636,2,260,4/19/2026,13:13:24
117,448,2,160,4/19/2026,13:14:47
118,9,4,65,4/19/2026,13:15:06
119,1,4,110,4/19/2026,13:15:56
120,69,6,70,4/19/2026,13:16:17
121,77,6,85,4/19/2026,13:16:40
122,48,5,80,4/19/2026,13:18:29
123,132,12,66.25,4/19/2026,13:18:49
124,397,6,105,4/19/2026,13:20:38
125,447,4,220,4/19/2026,13:21:05
126,156,2,270,4/19/2026,13:22:03
127,82,12,50,4/19/2026,13:22:49
128,637,12,11.67,4/19/2026,13:23:22
129,3,20,345,4/19/2026,13:25:22
130,29,20,320,4/19/2026,13:25:46
131,179,20,245,4/19/2026,13:26:13
132,4,10,150,4/19/2026,13:27:01
133,24,10,160,4/19/2026,13:27:29
134,102,6,240,4/19/2026,13:27:49
